С.С.С.Р.	Съюз на съветските социалистически републики	<http://bg.wikipedia.org/wiki/Съюз_на_съветските_социалистически_републики>	
С.А.Щ.	Съединени американски щати	<http://bg.wikipedia.org/wiki/Съединени_американски_щати>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
Yu-Gi-Oh!	Ю-Ги-О!	<http://bg.wikipedia.org/wiki/Ю-Ги-О!>	
Кв.км.	Квадратен километър	<http://bg.wikipedia.org/wiki/Квадратен_километър>	
К.с.	Конска сила	<http://bg.wikipedia.org/wiki/Конска_сила>	
N.W.A.	N.W.A	<http://bg.wikipedia.org/wiki/N.W.A>	
W.i.t.c.h.	Уич	<http://bg.wikipedia.org/wiki/Уич>	
Smackdown!	WWE SmackDown	<http://bg.wikipedia.org/wiki/WWE_SmackDown>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Св.г.	Светлинна година	<http://bg.wikipedia.org/wiki/Светлинна_година>	
M.I.K.E.	Майк Дирикс	<http://bg.wikipedia.org/wiki/Майк_Дирикс>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
H.I.M.	ХИМ	<http://bg.wikipedia.org/wiki/ХИМ>	
What-A-Cartoon!	The Cartoon Cartoon Show	<http://bg.wikipedia.org/wiki/The_Cartoon_Cartoon_Show>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Vill.	Доминик Вияр	<http://bg.wikipedia.org/wiki/Доминик_Вияр>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Mirb.	Шарл-Франсоа Брисо дьо Мирбел	<http://bg.wikipedia.org/wiki/Шарл-Франсоа_Брисо_дьо_Мирбел>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Groen!	Зелено!	<http://bg.wikipedia.org/wiki/Зелено!>	
Зелени!	Зелено!	<http://bg.wikipedia.org/wiki/Зелено!>	
SmackDown!	WWE SmackDown	<http://bg.wikipedia.org/wiki/WWE_SmackDown>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Etc.	Et cetera	<http://bg.wikipedia.org/wiki/Et_cetera>	
Стб.	Старобългарски език	<http://bg.wikipedia.org/wiki/Старобългарски_език>	<http://dbpedia.org/ontology/Language>,<http://schema.org/Language> 
A.D.S.	Active Denial System	<http://bg.wikipedia.org/wiki/Active_Denial_System>	
L.A.P.D.	Полицейско управление на Лос Анджелис	<http://bg.wikipedia.org/wiki/Полицейско_управление_на_Лос_Анджелис>	
W.A.S.P.	У.А.С.П.	<http://bg.wikipedia.org/wiki/У.А.С.П.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Band>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/MusicGroup>,<http://schema.org/Organization> 
Snap!	Снап!	<http://bg.wikipedia.org/wiki/Снап!>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Band>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/MusicGroup>,<http://schema.org/Organization> 
Млрд.	Милиард	<http://bg.wikipedia.org/wiki/Милиард>	
О.р.	Мобилизационен резерв	<http://bg.wikipedia.org/wiki/Мобилизационен_резерв>	
О.з.	Мобилизационен резерв	<http://bg.wikipedia.org/wiki/Мобилизационен_резерв>	
Инж.	Инженер	<http://bg.wikipedia.org/wiki/Инженер>	
Adaptation.	Адаптация.	<http://bg.wikipedia.org/wiki/Адаптация.>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
632г.	632	<http://bg.wikipedia.org/wiki/632>	
681г.	681	<http://bg.wikipedia.org/wiki/681>	
Toradora!	Торадора!	<http://bg.wikipedia.org/wiki/Торадора!>	
Яхуу!	Yahoo!	<http://bg.wikipedia.org/wiki/Yahoo!>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Buono!	Боно!	<http://bg.wikipedia.org/wiki/Боно!>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Band>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/MusicGroup>,<http://schema.org/Organization> 
M.I.A.	Ем Ай Ей	<http://bg.wikipedia.org/wiki/Ем_Ай_Ей>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Band>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/MusicGroup>,<http://schema.org/Organization> 
Оливър!	Оливър! (филм)	<http://bg.wikipedia.org/wiki/Оливър!_(филм)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
