P.K.	Kristana erao	<http://eo.wikipedia.org/wiki/Kristana_erao>	
R.E.M.	R.E.M. (muzikgrupo)	<http://eo.wikipedia.org/wiki/R.E.M._(muzikgrupo)>	
P.e.c.	Dpi	<http://eo.wikipedia.org/wiki/Dpi>	
Verde!	Groen	<http://eo.wikipedia.org/wiki/Groen>	
U.E.A.	Universala Esperanto-Asocio	<http://eo.wikipedia.org/wiki/Universala_Esperanto-Asocio>	
U.A.E.	Unuiĝintaj Arabaj Emirlandoj	<http://eo.wikipedia.org/wiki/Unuiĝintaj_Arabaj_Emirlandoj>	
Ph.D.	Doktoro de filozofio	<http://eo.wikipedia.org/wiki/Doktoro_de_filozofio>	
Adorf/Vogtl.	Adorf (Vogtland)	<http://eo.wikipedia.org/wiki/Adorf_(Vogtland)>	
Auerbach/Vogtl.	Auerbach (Vogtland)	<http://eo.wikipedia.org/wiki/Auerbach_(Vogtland)>	
Boxberg/O.L.	Boxberg (Saksio)	<http://eo.wikipedia.org/wiki/Boxberg_(Saksio)>	
Breitenbrunn/Erzgeb.	Breitenbrunn (Ercmontaro)	<http://eo.wikipedia.org/wiki/Breitenbrunn_(Ercmontaro)>	
Brünn/Thür.	Brünn (Turingio)	<http://eo.wikipedia.org/wiki/Brünn_(Turingio)>	
Börnichen/Erzgeb.	Börnichen (Ercmontaro)	<http://eo.wikipedia.org/wiki/Börnichen_(Ercmontaro)>	
E.T.	E.T. (ludo)	<http://eo.wikipedia.org/wiki/E.T._(ludo)>	
L.K.	Lingva Komitato	<http://eo.wikipedia.org/wiki/Lingva_Komitato>	
U.K.	Universala Kongreso de Esperanto	<http://eo.wikipedia.org/wiki/Universala_Kongreso_de_Esperanto>	
Plenbuŝe!	Esperanto? Plenbuŝe!	<http://eo.wikipedia.org/wiki/Esperanto?_Plenbuŝe!>	
Help!	Help! (albumo)	<http://eo.wikipedia.org/wiki/Help!_(albumo)>	
JUDr.	Titolo	<http://eo.wikipedia.org/wiki/Titolo>	
Juss.	Antoine Laurent de Jussieu	<http://eo.wikipedia.org/wiki/Antoine_Laurent_de_Jussieu>	
Awake!	Vekiĝu!	<http://eo.wikipedia.org/wiki/Vekiĝu!>	
OOMPH!	Oomph!	<http://eo.wikipedia.org/wiki/Oomph!>	
F.D.P.	Libera Demokrata Partio	<http://eo.wikipedia.org/wiki/Libera_Demokrata_Partio>	
S.m.	Supermara alteco	<http://eo.wikipedia.org/wiki/Supermara_alteco>	
Willd.	Carl Ludwig Willdenow	<http://eo.wikipedia.org/wiki/Carl_Ludwig_Willdenow>	
Gaertn.	Joseph Gärtner	<http://eo.wikipedia.org/wiki/Joseph_Gärtner>	
R.Br.	Robert Brown (botanikisto)	<http://eo.wikipedia.org/wiki/Robert_Brown_(botanikisto)>	
Ltd.	Kompanio kun limigita respondeco	<http://eo.wikipedia.org/wiki/Kompanio_kun_limigita_respondeco>	
S.r.o.	Kompanio kun limigita respondeco	<http://eo.wikipedia.org/wiki/Kompanio_kun_limigita_respondeco>	
D.o.o.	Kompanio kun limigita respondeco	<http://eo.wikipedia.org/wiki/Kompanio_kun_limigita_respondeco>	
Kft.	Kompanio kun limigita respondeco	<http://eo.wikipedia.org/wiki/Kompanio_kun_limigita_respondeco>	
S.L.	Kompanio kun limigita respondeco	<http://eo.wikipedia.org/wiki/Kompanio_kun_limigita_respondeco>	
S.r.l.	Kompanio kun limigita respondeco	<http://eo.wikipedia.org/wiki/Kompanio_kun_limigita_respondeco>	
B.V.	Kompanio kun limigita respondeco	<http://eo.wikipedia.org/wiki/Kompanio_kun_limigita_respondeco>	
A.K.	Kristana erao	<http://eo.wikipedia.org/wiki/Kristana_erao>	
PhDr.	Doktoro de filozofio	<http://eo.wikipedia.org/wiki/Doktoro_de_filozofio>	
RObotMObil.	ROMO	<http://eo.wikipedia.org/wiki/ROMO>	
Bp.	Budapeŝto	<http://eo.wikipedia.org/wiki/Budapeŝto>	
Osuo!	Osu!	<http://eo.wikipedia.org/wiki/Osu!>	
O.C.D.	Karmelanoj	<http://eo.wikipedia.org/wiki/Karmelanoj>	
N.B.N.	Nova Biologia Nomenklaturo	<http://eo.wikipedia.org/wiki/Nova_Biologia_Nomenklaturo>	
I.U.	Internacia unuo	<http://eo.wikipedia.org/wiki/Internacia_unuo>	
